"","0000011103","0000012101","0000012301","0000012305","0000012401","0000012406","0000012411","0000012413","0000012417","0000012420","0000012423","0000012427","0000012428","0000012429","0000012430","0000012433","0000012434","0000012435","0000012501","0000012502","0000012505","0000012507","0000012601","0000012701","0000013301","0000021206","0000021207","0000024204","0000024205","0000024206","0000024207","0000024601","0000024701","0000025101","0000025108","0000025112","0000025113","0000025114","0000025123","0000025125","0000025201","0000025203","0000025207","0000025209","0000025212","0000025303","0000025304","0000025305","0000031601","0000031604","0000031609","0000034601","0000034602","0000034603","0000041301","0000041601","0000044602","0000045201","0000045601","0000045603","0000045604","0000051701","0000061601","0000061602","0000061603","0000061701","0000062605","0000064601","0000064603","0000071601","0000076101","0000077601","0000090101","0000090601","0000090604","0000090606","0000090701","0000090702","0000090703","0000090704","0000090706","0000091302","0000091702","0000091717","0000094606","0000095601","0000095602","0000095605","0000096706","0000096711","0000096713","0000096724","0000096731","0000098501","0000098503","0000098507","0000098508","0000098509","0000098513","0000098514","0000098515","0000098516","0000098517","0000098518","0000098519","aa00190001","aa00690002","aa03125001","aa03125002","aa03125003","aa03125004","aa03125005","aa03125006","aa04192003","aa04192004","aa05191001","aa05191002","aa05191003","aa05191004","aa07134015","aa07134027","aa07151012","aa07153001","aa07153002","aa07153003","aa07153004","aa07153005","aa07153006","aa07153007","aa07153008","aa07153009","aa07153048","aa07153049","aa07153051","aa07153052","aa07153053","aa07153054","aa07153055","aa07153056","aa07153057","aa07153096","aa07153097","aa07153098","aa07153099","aa07153101","aa07153102","aa07153103","aa07153104","aa07153105","aa07153106","aa07153149","aa07153152","aa07153201","aa07153251","aa07153252","aa07153253","aa07153254","aa07153255","aa07153258","aa07153259","aa07153262","aa07153268","aa07153269","aa07153272","aa07153273","aa07153274","aa07153299","aa07193001","aa07193002","aa07193003","aa07193004","aa07193010","aa07193013","aa07253151","aa07253153","aa07253256","aa07253257","aa07253260","aa07253261","aa07334006","aa07351001","aa07393043","aa07453001","aa07453002","aa07453003","aa07453004","aa07453005","aa07453006","aa07453007","aa07453008","aa07453009","aa07453010","aa07453011","aa07453012","aa07453013","aa07453014","aa07453015","aa07453016","aa07453017","aa07453018","aa07453098","aa07453099","aa08296002","aa11224004","ab07294010","gx01910701","gx02110101","gx02110104","gx02120305","gx02120412","gx02130402","gx02760102","gx02900104","ty00000001","ty00000002","ty00000003","ty00000005","ty00000006","ty00000009","ty00000010","ty00000011","ty00000012"
"53060101",NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,"68","优秀","82",NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,"不及格",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","中等","84","71","87","85","87","76",NA,NA,"63","56","74","75",NA,NA,NA,"90","93","96","63","87","60","80","84","82",NA,NA,"80","82","73","60","83","74","72",NA,NA,NA,NA,"83","82","91","87","83","91",NA,"83","良好","及格","良好","不及格","优秀","72",NA,"良好",NA,NA,NA,NA,"80",NA,NA,"91","70","84",NA,"88","92","89","84",NA,"88",NA,NA,NA,"85","87","良好","及格","良好","良好","良好","优秀","中等","优秀","优秀","良好","85","89","优秀","90","中等","94","90","良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等","良好",NA,NA,NA,NA,NA
"53060102",NA,NA,"及格",NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68",NA,"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,"68","及格","71","61","72","79","72","64",NA,NA,"72","68","60","60",NA,NA,NA,"67","20","83","31","0","35","34","60","63",NA,NA,"4","28","77","7","68","68","70",NA,NA,NA,NA,"72","37","68","62","60","48",NA,"68","良好","及格","及格","及格",NA,"62",NA,"中等",NA,NA,NA,NA,"63",NA,NA,"54","39","6",NA,"64","62","72","63",NA,"65",NA,NA,NA,"65","87","中等","中等","优秀","良好","中等","中等","中等","中等","中等","良好","79","79","中等","67","及格","71","64","中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,"优秀"
"53060103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,"中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等","70",NA,"85",NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","良好","89","72","83","85","85","73",NA,NA,"75","80","73","78",NA,NA,NA,"93","96","92","83","86","91","91","90","75",NA,NA,"92","94","89","92","86","84","77",NA,NA,NA,NA,"88","90","96","89","95","88",NA,"87","良好","中等","中等","中等",NA,"81",NA,"良好",NA,NA,NA,NA,"80",NA,NA,"92","84","92",NA,"100","95","94","97",NA,"75",NA,NA,NA,"90","87","良好","中等","优秀","优秀","良好","优秀","良好","优秀","优秀","良好","85","95","良好","89","优秀","93","86","优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"及格","优秀",NA,NA,NA,NA,NA
"53060104",NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92","优秀","88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","良好","92","70","90","92","86","85",NA,NA,"79","84","86","88",NA,NA,NA,"92","96","94","86","99","97","89","97","89",NA,NA,"91","96","92","87","91","90","97",NA,NA,NA,NA,"87","85","87","93","90","87",NA,"97","优秀","良好","优秀","优秀",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,NA,"86","91","89",NA,"82","91","90","91",NA,"90",NA,"88",NA,"96","88","良好","中等","优秀","优秀","良好","优秀","中等","优秀","优秀","优秀","81","96","良好","86","优秀","94","85","优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好","优秀",NA
"53060105",NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等","64",NA,"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,"63","优秀","89","65","86","87","83","68",NA,NA,"79","70","74","66",NA,NA,NA,"62","28","51","14","0","12","16","35","40",NA,NA,"0","10","72","5","65","62","54",NA,NA,NA,NA,"91","61","43","10","62","18",NA,"60","中等","及格","及格","不及格",NA,"75",NA,"及格",NA,NA,NA,NA,"64",NA,NA,"69","60","6",NA,"78","35","82","72","70","70",NA,NA,NA,"64","87","良好","中等","及格","良好","中等","中等","中等","中等","及格","中等","79","73","及格","62","及格","82","71","良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"及格",NA,NA,NA,NA,NA,"优秀",NA,NA
"53060106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84",NA,"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,"60","良好","84","62","73","77","81","69",NA,NA,"79","65","69","60",NA,NA,NA,"62","46","77","26","11","17","22","67","54",NA,NA,"0","11","81","10","64","65","64",NA,NA,NA,NA,"85","81","70","50","60","66",NA,"69","中等","及格","及格","不及格",NA,"68",NA,"良好",NA,NA,NA,NA,"61",NA,NA,"70","32","14",NA,"83","55","78","62","60","65",NA,NA,NA,"73","89","良好","中等","中等","中等","中等","中等","中等","中等","中等","中等","79","71","及格","56","良好","77","77","优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,NA,NA,NA,"良好"
"53060107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"95",NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"及格",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","优秀","81","65","84","79","85","67",NA,NA,"75","73","74","73",NA,NA,NA,"81","71","68","40","65","60","68","73","62",NA,NA,"66","74","69","60","60","67","69",NA,NA,NA,NA,"94","60","72","69","83","60",NA,"77","优秀","良好","良好","良好",NA,"60.5",NA,"及格",NA,NA,NA,NA,"68",NA,NA,"43","65","60",NA,"89","68","85","61","75",NA,NA,NA,NA,"73","89","良好","及格","中等","中等","中等","中等","中等","良好","优秀","中等","89","57","及格","71","良好","80","67","良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,"优秀",NA,NA,NA,NA,NA,NA
"53060108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86",NA,"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","良好","82","73","89","79","90","75",NA,NA,"76","71","74","74",NA,NA,NA,"87","60","90","69","76","91","84","90","68",NA,NA,"83","87","84","84","79","78","84",NA,NA,NA,NA,"83","76","81","84","78","83",NA,"82","优秀","中等","中等","中等",NA,"77",NA,"良好",NA,NA,NA,NA,"67",NA,NA,"87","84","82",NA,"93","93","84","80",NA,"85",NA,NA,NA,"85","88","优秀","良好","中等","优秀","优秀","良好","良好","优秀","良好","良好","82","90","中等","83","良好","82","76","优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA
"53060109",NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87",NA,"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","良好","81","78","88","95","89","81",NA,NA,"79","78","75","84",NA,NA,NA,"81","88","97","77","82","98","92","95","90",NA,NA,"91","89","91","68","90","86","91",NA,NA,NA,NA,"91","79","95","91","87","92",NA,"96","中等","中等","优秀","良好",NA,"80",NA,"优秀","81",NA,NA,NA,"74",NA,NA,"78","90","83",NA,"95","90","96","90",NA,NA,NA,NA,NA,"94","88","良好","优秀","良好","优秀","良好","良好","中等","优秀","优秀","优秀","91","93","良好","92","良好","87","93","优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,"良好",NA,NA,NA
"53060110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67",NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,"60","中等","92","70","77","74","83","60",NA,NA,"79","77","79","65",NA,NA,NA,"28","48","76","24","18","8","21","60","79",NA,NA,"67","63","73","69","73","69","73",NA,NA,NA,NA,"88","79","74","76","61","85",NA,"75","中等","及格","及格","及格",NA,"19","良好","良好",NA,NA,NA,NA,"66",NA,NA,"78","60","37",NA,"82","62","73","66","40",NA,"良好","72",NA,"82","88","中等","中等","及格","良好","良好","及格","中等","中等","中等","中等","85","81","及格","61","良好","86","69","及格",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA
