"","0000012406","0000012411","0000012429","0000012430","0000012501","0000012502","0000012507","0000021202","0000021207","0000023201","0000025112","0000025209","0000034602","0000034603","0000045601","0000045603","0000051701","0000064601","0000064603","0000090702","0000090703","0000090704","0000090706","0000091302","0000091502","0000091702","0000091703","0000091704","0000091717","0000091719","0000094606","0000095601","0000098501","0000098503","0000098507","0000098508","0000098513","0000098514","0000098515","0000098518","0000098519","00000g5605","aa02121030","aa02121038","aa02121104","aa11121084","ab00190001","ab00690002","ab02121102","ab02121112","ab02121114","ab02530703","ab02910701","ab03125001","ab03125002","ab03125003","ab03125004","ab03125005","ab03125006","ab05112120","ab05191001","ab05191002","ab05191003","ab05191004","ab05191010","ab07153001","ab07153002","ab07153003","ab07153004","ab07153005","ab07153006","ab07153007","ab07153008","ab07153009","ab07153048","ab07153049","ab07153051","ab07153052","ab07153053","ab07153054","ab07153055","ab07153056","ab07153057","ab07153096","ab07153097","ab07153098","ab07153099","ab07153101","ab07153103","ab07153104","ab07153106","ab07153149","ab07153152","ab07153154","ab07153201","ab07153251","ab07153252","ab07153253","ab07153255","ab07153258","ab07153259","ab07153263","ab07153265","ab07153268","ab07153270","ab07153272","ab07153275","ab07153299","ab07193001","ab07193002","ab07193003","ab07193010","ab07193013","ab07253151","ab07253153","ab07253256","ab07253258","ab07253260","ab07253261","ab07253264","ab07294010","ab07351001","ab07453002","ab07453003","ab07453004","ab07453005","ab07453006","ab07453007","ab07453008","ab07453009","ab07453010","ab07453011","ab07453012","ab07453013","ab07453014","ab07453015","ab07453016","ab07453017","ab07453018","ab07453098","ab07453099","ab07553101","ab07553102","ab11121081","ab11324150","gx01110102","gx01110103","gx01110105","gx01110106","gx01120303","gx01120403","gx01120410","gx01120419","gx01120420","gx01120421","gx01120422","gx01120423","gx01120424","gx01120425","gx01120426","gx01120429","gx01120430","gx01120431","gx01120432","gx01120701","gx01130301","gx01130302","gx01130401","gx01210502","gx01210701","gx01220202","gx01220204","gx01220205","gx01240504","gx01240507","gx01240508","gx01240509","gx01250104","gx01250106","gx01250107","gx01250203","gx01250207","gx01250209","gx01250302","gx01250501","gx01250504","gx01310604","gx01320601","gx01340601","gx01410602","gx01440601","gx01450501","gx01450602","gx01610602","gx01640601","gx01640603","gx01910302","gx01910303","gx01910304","gx01910701","gx01910704","gx01910707","gx01910711","gx01910714","gx01960701","gx01960702","gx01960703","gx01980409","gx01980410","gx02110101","gx02110104","gx02120101","gx02120305","gx02120402","gx02120412","gx02130402","gx02210503","gx02210504","gx02210505","gx02210507","gx02210508","gx02220201","gx02240503","gx02250103","gx02250105","gx02250108","gx02250202","gx02250210","gx02250301","gx02250505","gx02430602","gx02450604","gx02450605","gx02450608","gx02620602","gx02760102","gx02900101","gx02900104","gx02910715","gx02960717","gx02960725","gx02980407","gx02980412","gx02980414","gx02980415","gx09250402","ty00000001","ty00000002","ty00000003","ty00000004","ty00000005","ty00000006","ty00000008","ty00000009","ty00000010","ty00000011"
"53090102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,84,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,80,NA,NA,NA,NA,NA,86,83,75,84,83,86,NA,78,81,74,83,NA,72,60,84,67,65,61,61,60,71,NA,NA,86,75,79,67,76,79,68,NA,NA,NA,NA,77,74,71,77,NA,75,85,NA,70,70,NA,NA,70,70,NA,NA,NA,62,NA,NA,NA,62,77,61,53,70,83,68,NA,38,76,NA,NA,67,81,90,80,70,70,70,70,70,80,80,85,82,90,69,80,73,66,70,NA,NA,80,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,90
"53090103",NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,84,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,90,NA,NA,NA,NA,NA,90,80,80,76,82,86,NA,79,67,80,73,NA,98,70,82,84,70,74,81,76,74,NA,NA,80,77,85,78,83,79,78,NA,NA,NA,NA,86,80,79,73,NA,70,90,NA,80,90,85.3,NA,NA,NA,80,NA,62,79,NA,NA,NA,78,79,34,60,76,78,78,NA,73,NA,92,NA,77,85,80,90,90,90,90,80,80,90,90,90,92,80,78,80,77,81,90,NA,90,80,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,90,NA,NA,NA,80,NA,NA,NA,NA
"53090104",NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,91,90,NA,NA,NA,NA,NA,63,70,72,69,81,84,NA,81,79,92,83,NA,96,73,73,80,87,75,88,90,81,NA,NA,81,92,88,87,77,90,93,NA,NA,NA,NA,80,82,79,81,NA,86,90,NA,80,90,NA,NA,NA,NA,NA,NA,NA,78,NA,90,NA,74,60,41,80,86,83,84,NA,76,NA,89,90,70,84,70,90,90,90,80,90,90,90,90,90,90,80,84,80,87,87,90,NA,NA,80,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,80,NA,NA,NA,NA
"53090105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,94,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,81,80,NA,NA,NA,NA,NA,82,68,70,80,82,83,NA,73,74,72,72,NA,60,67,88,74,89,74,61,79,60,NA,NA,74,83,70,75,74,84,78,NA,NA,NA,NA,63,70,73,74,NA,78,86,NA,90,80,NA,NA,NA,NA,NA,NA,NA,60,NA,80,NA,64,71,60,70,72,60,84,NA,73,69,NA,90,61,84,70,80,80,70,80,70,80,90,90,89,74,80,74,80,73,75,70,NA,NA,80,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,90,NA,NA,NA,NA,NA,NA
"53090106",NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,84,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,90,NA,NA,NA,NA,NA,80,76,80,77,87,78,NA,78,79,79,82,NA,76,82,81,80,92,90,80,90,90,NA,NA,93,93,91,91,92,92,90,NA,NA,NA,NA,64,86,83,87,NA,92,94,NA,80,70,NA,NA,NA,NA,NA,70,NA,82,NA,70,NA,80,74,72,72,75,90,76,NA,75,NA,NA,NA,69,78,80,90,90,80,80,70,80,90,90,75,91,80,94,90,93,82,90,NA,NA,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
"53090107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,90,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,95,90,NA,NA,NA,NA,NA,91,82,82,92,83,81,NA,75,82,78,83,NA,90,75,87,85,94,90,88,90,90,NA,NA,92,93,89,95,96,91,93,NA,NA,NA,NA,91,96,88,90,NA,93,90,NA,90,90,NA,NA,90,NA,NA,NA,NA,90,NA,90,NA,71,69,92,89,90,90,83,NA,90,NA,NA,NA,86,85,90,90,90,90,90,90,90,90,90,95,91,80,86,90,94,88,80,NA,NA,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,80,NA
"53090108",NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,83,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,90,NA,NA,NA,NA,NA,90,83,85,85,85,86,NA,86,81,80,84,NA,74,65,93,82,89,86,82,87,75,NA,NA,93,78,85,80,97,92,94,NA,NA,NA,NA,91,86,87,81,NA,72,91,NA,80,70,NA,NA,80,NA,NA,NA,NA,80,NA,90,NA,76,86,74,83,92,85,88,NA,89,NA,NA,NA,85,84,90,90,80,80,90,70,90,90,90,88,82,90,85,80,79,89,80,NA,NA,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,70,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,NA,NA,NA,NA,NA,NA,NA,NA
"53090109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,94,60,NA,NA,NA,NA,NA,94,81,78,85,82,92,NA,83,86,87,83,NA,85,71,75,70,82,64,78,74,80,NA,NA,81,94,72,73,77,91,85,NA,NA,NA,NA,87,88,81,77,NA,85,82,NA,80,80,NA,NA,90,NA,NA,NA,NA,74,NA,90,NA,90,60,60,76,74,75,85,NA,75,NA,NA,NA,53,85,80,80,90,80,80,70,80,80,90,85,75,70,88,90,84,90,80,NA,NA,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53090110",NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,80,NA,NA,NA,NA,NA,88,85,80,82,84,90,NA,NA,90,82,82,81,90,73,99,86,86,89,84,88,84,NA,NA,92,96,97,90,95,87,94,NA,NA,NA,NA,96,97,86,87,NA,90,91,NA,90,80,NA,88,80,NA,NA,NA,NA,92,NA,80,NA,89,80,87,89,97,77,84,NA,93,NA,NA,NA,91,91,90,90,90,90,90,80,90,90,90,95,83,90,92,90,85,92,90,NA,NA,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA
"53090111",NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,86,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,92,60,NA,NA,NA,NA,NA,86,80,75,84,85,87,NA,76,80,80,83,NA,71,68,77,86,81,73,63,83,69,NA,NA,75,80,67,76,87,83,73,NA,NA,NA,NA,91,74,68,65,NA,72,87,NA,80,70,NA,NA,70,NA,NA,NA,NA,61,NA,90,NA,66,73,72,79,67,71,71,NA,60,NA,NA,NA,64,70,80,80,90,70,70,70,70,80,90,85,82,70,75,80,81,88,70,NA,NA,80,90,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,90,NA,NA,NA,NA
